NAME,SYMBOL,LAST,CHANGE,%CHANGE,YTD %CHG,52WK%CHG,YIELD,PE,50 D MA,200 D MA,ANNUAL H,ANNUAL L,VLM,VLM CROSSES 50 D AVG VLM (H or L),
Apple,AAPL,144.14,0.47,0.33,24.452,50.293,1.748,16.86,149.23,129.79,156.65,94.3,11.37M,-17568400,
AbbVie,ABBV,72.56,0.08,0.11,15.874,17.073,3.528,18.8,67.76,63.68,73.67,55.06,1.5M,-4410745.5,
ACN,ACN,124.23,1.24,1.01,6.062,8.562,1.948,22.03,123.01,119.56,128.47,108.83,1.04M,-1185323.75,
Automatic Data Processing,ADP,102.66,1.2,1.18,-0.117,10.439,2.221,26.53,101.06,98.09,105.68,85.48,1.18M,-1446693.75,
American Electric Power Company,AEP,69.79,0.19,0.27,10.848,-0.699,3.382,49.15,69.92,65.29,72.97,57.89,814K,-1686554.25,
Aetna,AET,151.88,0.1,0.07,22.474,24.277,1.317,47.31,144.17,127.89,155.15,104.59,574K,-1823172,
AFLAC,AFL,77.5,-0.1,-0.13,11.351,7.539,2.219,12.58,75.57,72.13,79.86,66.5,569K,-1126830.25,
Federal Agricultural Mortgage,AGM,65,-1.45,-2.18,13.497,90.839,2.215,9.59,61.69,54.66,68.65,33.6,21K,-52060.1,
Actavis Generics,AGN,243.86,-0.16,-0.07,16.118,5.595,0.287,NA,234.16,225.87,261.27,184.5,644K,-1763017.5,
American International Group,AIG,62.32,-1.18,-1.86,-4.578,20.061,2.054,194.75,62.48,62.75,67.47,50.2,3.13M,-3713885,
Allstate,ALL,88.29,0.16,0.18,19.118,25.99,1.676,14.91,85.57,77.28,90.74,66.55,534K,-1361441.88,
Advanced Micro Devices,AMD,12.56,-0.04,-0.32,10.758,145.136,0,NA,11.96,10.78,15.55,4.82,44.75M,-37718616,
Amgen,AMGN,172.33,-0.22,-0.13,17.872,13.434,2.669,16.37,162.47,160.45,184.21,133.64,1.1M,-2542551.5,
American Tower Corporation,AMT,132.83,0.01,0.01,25.691,16.909,1.927,64.48,129.34,115.23,137.12,99.72,646K,-1326325.5,
TD Ameritrade,AMTD,42.77,0.14,0.33,-1.904,49.745,1.683,26.57,38.99,39.61,47.41,26.37,1.25M,-1279435.5,
Amazon.com,AMZN,974.93,-0.3,-0.03,30.008,36.375,0,183.25,966.96,852.84,1017,710.1,1.73M,-2189633.5,
Aon Rg,AON,132.55,-0.29,-0.22,18.847,21.615,1.086,25.94,128.07,117.27,137.27,105.35,520K,-746306.13,
A. O. Smith,AOS,56.32,0.37,0.66,18.944,27,0.994,29.18,54.87,50.4,57.58,42.83,215K,-650055.44,
Anadarko Petroleum Corporation,APC,45.31,0.06,0.12,-35.021,-15.023,0.441,NA,51.07,61.45,73.33,43.45,2.06M,-3837662,
Air Products & Chemicals,APD,142.27,0.5,0.35,-1.078,7.96,2.671,9.84,143.77,140.74,150.45,126.94,210K,-1086827,
Arena Pharmaceuticals,ARNA,16.93,0.42,2.54,1091.549,866.082,0,NA,3.89,2.12,17.75,1.13,248K,-1763906.25,
AptarGroup,ATR,87.22,0.73,0.84,18.747,9.301,1.468,26.35,83.58,77.18,87.93,70.32,78K,-212060.09,
